audio_tag,sound,source,quality
alarm blares,blare,alarm,
alarm buzzing,buzz,alarm,
alarm continues,,alarm,
alarm continues blaring,blare,alarm,
alarm sounding,sound,alarm,
alarm stops,,alarm,stop
alarm wailing,wail,alarm,
alarms beeping,beep,alarm,
all cheer,cheer,,
all coughing,cough,,
all scream,scream,,
all shouting indistinctly,shout,,indistinctly
all sing in hebrew,sing,,
all speaking indistinctly,speak,,indistinctly
all whimpering,whimper,,
anne chuckles,chuckle,,
audience gasping,gasp,audience,
audience murmuring,murmur,audience,
bailey barking,bark,bailey,
banging continues,bang,,
beeping stops,beep,,stop
bell clanging,clang,bell,
bell jingles,jingle,bell,
bells jingling,jingle,bell,
bird squawking,squawk,bird,
birds cawing,caw,bird,
birds screeching,screech,bird,
birds squawking,squawk,bird,
body thuds,thud,body,
bones crack,crack,bones,
bones cracking,crack,bones,
both breathing heavily,breathe,,heavily
both gasping,gasp,,
both sigh,sigh,,
both speaking hindi,speak,,
both speaking mandarin,speak,,
boys laughing,laugh,boys,
boys shouting,shout,boys,
brakes screech,screech,brake,
brakes squeak,squeak,brake,
brakes squeal,squeal,brake,
brakes squealing,squeal,brake,
breathes shakily,breathe,,shakily
breathing hard,breathe,,hard
breathing rapidly,breathe,,rapidly
buzzes,buzz,,
buzzing continues,buzz,,
camera shutters clicking,click,camera,
car engine starting,,engine,
car honking,honk,car,
car horns honking,honk,car horn,
car lock beeps,beep,car lock,
cars honking,honk,cars,
caws,caw,,
cell phone beeping,beep,cell phone,
cell phone dinging,ding,cell phone,
cell phone vibrates,vibrate,cell phone,
chain rattling,rattle,chain,
chatter,chatter,,
chatter continues,chatter,,
chatters,chatter,,
cheers,cheer,,
chewie growling,growl,chewie,
chewie grunts,grunt,chewie,
children playing,play,child,
children screaming,scream,child,
children shouting,shout,child,
chirps,chirp,,
chitters,chitter,,
church bell tolling,toll,church bell,
clacking,clack,,
claps,clap,,
click,click,,
clock chiming,chime,clock,
clocks ticking,tick,clock,
computer beeps,beep,computer,
console beeping,beep,console,
continues crying,cry,,
continues laughing,laugh,,
continues panting,pant,,
continues sobbing,sob,,
continues yelling,yell,,
coos,coo,,
cracking,crack,,
creaking continues,creak,,
crew laughing,laugh,,
cries out,cry,,
crowd chatter,chatter,crowd,
crowd cheering and applauding,cheer;applause,crowd,
crowd cheers,cheer,crowd,
crowd exclaims,exclaim,crowd,
crowd jeering,jeer,crowd,
crows cawing,caw,crow,
crying softly,cry,,softly
deep voice,voice,,deep
device beeping,beep,device,
device beeps,beep,device,
dial tone,dial tone,,
dinging,ding,,
distant explosions,explosion,,distant
distant gunfire,gunfire,,distant
dog whimpers,whimper,dog,
dog whining,whine,dog,
doomsday roaring,roar,,
door buzzing,buzz,door,
door closing,close,door,
door creaks open,creak,door,
door opens and closes,open;close,door,
door rattling,rattle,door,
door slams shut,slam,door,
echoes,echo,,
ekg beeping,beep,ekg,
electrical crackling,crackle,,electrical
electricity crackles,crackle,electricity,
electronic chiming,chime,,electronic
electronic chittering,chitter,,electronic
electronic music playing,music,,
end call beeps,beep,phone,
engine backfires,backfires,engine,
engine off,,engine,off
engine rumbling,rumble,engine,
engine whirring,whir,engine,
engines revving,rev,engine,
exhales heavily,exhale,,heavily
explosions continue,explosion,,
explosive whoosh,whoosh,,explosive
fanfare playing,fanfare,,
female computer voice,voice,computer,
floor creaking,creak,floor,
floorboard creaks,creak,floorboard,
floorboards creaking,creak,floorboard,
fly buzzing,buzz,fly,
footsteps receding,footstep,,receding
frantic chatter,chatter,,frantic
game chimes,chime,game,
gavel bangs,bang,gavel,
girls giggling,giggle,girl,
glass clinking,clink,glass,
groaning continues,groan,,
groaning loudly,groan,,loudly
groaning softly,groan,,softly
groans loudly,groan,,loudly
growling softly,growl,,softly
growls softly,growl,,softly
grumbles,grumble,,
grunting and groaning continue,grunt;groan,,
grunting softly,grunt,,softly
guests cheering,cheer,guests,
guitar music playing,music,guitar,
gun cocking,cock,gun,
gun shots,gunshot,gun,
gunshots continue,gunshot,gun,
helicopter approaching,,helicopter,approaching
hinges creaking,creak,hinge,
horns blaring,blare,horn,
horse snorts,snort,horse,
howling continues,howl,,
howls,howl,,
hums,hum,,
imitates explosion,explosion,,imitates
in deep voice,voice,,deep
indistinct chatter continues,chatter,,indistinct
indistinct chatter on radio,chatter,radio,indistinct
indistinct chatter over radio,chatter,radio,indistinct
indistinct murmuring,murmur,,indistinct
indistinct police radio chatter,chatter,radio,indistinct
inhaling,inhale,,
insect buzzing,buzz,insect,
insects chirping,chirp,insect,
insects trilling,trill,insect,
jazzy music,music,,
keypad beeping,beep,keypad,
keys clacking,clack,key,
kids chattering,chatter,kid,
kids laughing,laugh,kid,
knocking at door,knock,door,
knocking continues,knock,,
knocking on window,knock,window,
laptop chimes,chime,laptop,
latin music playing,music,,
laughing continues,laugh,,
laughs nervously,laugh,,nervously
laughs softly,laugh,,softly
leah crying,cry,leah,
leaves rustling,rustle,leaf,
lighter clicks,click,lighter,
line clicks,click,phone,
line rings,ring,phone,
lisa screams,scream,lisa,
lock clicking,click,lock,
loud cheering,cheer,,loud
loud music playing,music,,loud
loud thudding,thud,,loud
loud thump,thump,,loud
loud whooshing,whoosh,,loud
low growl,growl,,low
machine beeping,beep,machine,
man coughing,cough,man,
man groaning,groan,man,
man grunting,grunt,man,
man laughing,laugh,man,
