word,quality,sound,source
activating,activating,,
air,,,air
alarm,,,alarm
alarms,,,alarm
alert,,,alert
alex,,,alex
alice,,,alice
alpha,,,alpha
amplified,amplified,,
announcer,,,announcer
answering machine,,,answering machine
applause,,applause,
approaching,approaching,,
aramaki,,,aramaki
argue,,argue,
arguing,,argue,
artist 1,,,artist 1
artist 2,,,artist 2
ashley,,,ashley
audience,,,audience
automatic,automatic,,
awkwardly,awkwardly,,
babble,,babble,
baby,,,baby
backfires,,backfire,
bailey,,,bailey
ball,,,ball
ballad,,ballad,
band,,,band
bang,,bang,
banging,,bang,
bark,,bark,
barking,,bark,
barks,,bark,
battle cry,,battle cry,
bb-8,,,bb-8
beat,,beat,
beatbox,,beatbox,
beep,,beep,
beeping,,beep,
beeps,,beep,
belch,,belch,
bell,,,bell
bellow,,bellow,
bellowing,,bellow,
ben,,,ben
bicycle bell,,,bicycle bell
bird,,,bird
birds,,,bird
blare,,blare,
blares,,blare,
blaring,,blare,
bleat,,bleat,
bleats,,bleat,
bleep,,bleep,
blow,,blow,
blowing,,blow,
blows,,blow,
bob,,,bob
body,,,body
bone,,,bone
bones,,,bone
boo,,boo,
boom,,boom,
bounce,,bounce,
boy,,,boy
boys,,,boy
brake,,,brake
brakes,,,brake
branch,,,branch
bray,,bray,
break,break,break,
breaking,breaking,,
breath,,breath,
breathe,,breathe,
breathes,,breathe,
breathing,,breathe,
bridget,,,bridget
bubble,,bubble,
bull,,,bull
bullet,,,bullet
burble,,burble,
burps,,burp,
burst,,burst,
buzz,,buzz,
buzzer,,,buzzer
buzzes,,buzz,
buzzing,,buzz,
cackles,,cackle,
cackling,,cackle,
call,,call,
camera,,,camera
cameras,,,camera
car,,,car
car alarm,,,car alarm
car door,,,car door
car horn,,,car horn
car lock,,,car lock
carol anne,,,carol anne
cars,,,car
cat,,,cat
caw,,caw,
cawing,,caw,
cell phone,,,cell phone
chain,,,chain
chainsaw,,,chainsaw
chair,,,chair
chant,,chant,
chanting,,chant,
chatter,,chatter,
chattering,,chatter,
cheer,,cheer,
cheerful,cheerful,,
cheering,,cheer,
cheers,,cheer,
chew,,chew,
chewie,,,chewie
chicken,,,chicken
child,,,child
children,,,child
chime,,chime,
chimes,,chime,
chiming,,chime,
chirp,,chirp,
chirping,,chirp,
chirps,,chirp,
chitter,,chitter,
chittering,,chitter,
choir,,,choir
chokes,,choke,
choking,,choke,
chomp,,chomp,
chris,,,chris
christmas,christmas,,
chuckle,,chuckle,
chuckles,,chuckle,
chuckling,,chuckle,
chug,,chug,
church bell,,,church bell
clack,,clack,
clacking,,clack,
claire,,,claire
clamor,,clamor,
clamoring,,clamor,
clang,,clang,
clanging,,clang,
clangs,,clang,
clank,,clank,
clanking,,clank,
clap,,clap,
clapping,,clap,
clatter,,clatter,
clattering,,clatter,
clatters,,clatter,
clears throat,,clears throat,
click,,click,
clicking,,click,
clicks,,click,
clink,,clink,
clock,,,clock
close,,close,
closes,,close,
cluck,,cluck,
clunk,,clunk,
cock,,cock,
cocking,,cock,
cocks,,cock,
coin,,,coin
computer,,,computer
console,,,console
conversation,,conversation,
conversations,,conversation,
coo,,coo,
cooing,,coo,
cork,,,cork
cough,,cough,
coughing,,cough,
coughs,,cough,
cow,,,cow
crack,,crack,
crackle,,crackle,
crackling,,crackle,
cracks,,crack,
crank,,crank,
crash,,crash,
crashes,crash,,
crashing,crashing,crash,
creak,,creak,
creaking,,creak,
creaks,,creak,
creature,,,creature
crickets,,,cricket
cries,,cry,
crow,,crow,crow
crowd,,,crowd
crunch,,crunch,
crunching,,crunch,
cry,,cry,
crying,,cry,
debris,,,debris
deep,deep,,
deeply,deeply,,
device,,,device
dial tone,,dial tone,
dialing,,dial,
dialogue,,dialogue,
ding,,ding,
dinging,,ding,
dings,,ding,
disconnect,,disconnect,
disconnects,,disconnect,
dish,,,dish
